id,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,1
311,0
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,0
495,0
496,1
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
