id,label
0,0
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,1
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,0
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,1
532,0
